epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.09102,1.33359,2.87033,1.64201,0.57454,0.85,0.87817,0.63489,1.64855,1.06992,1.38313,0,0,0
2,7.26485,1.20375,2.71797,1.51752,0.56593,0.85,0.8486,0.63183,1.6467,1.05973,1.37385,1.17822e-06,1.17822e-06,1.17822e-06
3,9.24055,1.13964,3.62939,1.55492,0.56072,0.85,0.85084,0.61618,1.66649,1.06034,1.37907,2.33288e-06,2.33288e-06,2.33288e-06
4,12.5315,1.2807,2.75569,1.39152,0.56143,0.85,0.84953,0.61587,1.66055,1.0531,1.37788,3.46397e-06,3.46397e-06,3.46397e-06
5,14.2566,1.38509,3.07661,1.73668,0.56779,0.85,0.85527,0.62113,1.65911,1.03918,1.3751,4.5715e-06,4.5715e-06,4.5715e-06
6,16.4642,1.5353,4.15907,1.97861,0.54345,0.85,0.89361,0.62399,1.68951,1.06096,1.38014,5.65548e-06,5.65548e-06,5.65548e-06
7,18.5275,1.12352,1.87739,1.39781,0.53793,0.85,0.89343,0.62583,1.68208,1.05982,1.37726,6.71588e-06,6.71588e-06,6.71588e-06
8,20.7729,1.38065,4.01753,1.6091,0.5494,0.85981,0.85871,0.61269,1.64542,1.05976,1.35428,7.75273e-06,7.75273e-06,7.75273e-06
9,22.9681,1.12602,2.71372,1.41329,0.57138,0.862,0.81825,0.59502,1.66875,1.0621,1.3656,8.76602e-06,8.76602e-06,8.76602e-06
10,25.2833,1.19344,3.50646,1.59645,0.5814,0.86222,0.81417,0.59544,1.66144,1.06338,1.35872,9.75574e-06,9.75574e-06,9.75574e-06
11,27.4134,1.21434,2.48585,1.45377,0.58864,0.86305,0.85596,0.61996,1.65834,1.0672,1.3586,1.07219e-05,1.07219e-05,1.07219e-05
12,29.7448,1.00381,2.03042,1.37923,0.59044,0.86118,0.85561,0.62084,1.66825,1.07905,1.36645,1.16645e-05,1.16645e-05,1.16645e-05
13,32.0371,0.86556,2.23515,1.13962,0.59673,0.8654,0.85489,0.62066,1.65629,1.07556,1.35866,1.25835e-05,1.25835e-05,1.25835e-05
14,33.9975,1.09378,2.21334,1.4851,0.59725,0.86667,0.888,0.62728,1.66042,1.10057,1.36147,1.3479e-05,1.3479e-05,1.3479e-05
15,35.9029,0.9567,1.64756,1.1431,0.60136,0.86667,0.8881,0.62735,1.65979,1.10802,1.36257,1.43509e-05,1.43509e-05,1.43509e-05
16,38.193,1.22186,2.47906,1.62542,0.77674,0.65,0.87861,0.62307,1.67252,1.12926,1.37276,1.51993e-05,1.51993e-05,1.51993e-05
17,41.0303,0.82362,1.82897,1.18174,0.7682,0.65,0.87331,0.62663,1.67225,1.13813,1.37524,1.60241e-05,1.60241e-05,1.60241e-05
18,42.8039,1.14747,1.57206,1.36037,0.7682,0.65,0.87331,0.62663,1.67225,1.13813,1.37524,1.68253e-05,1.68253e-05,1.68253e-05
19,45.8535,0.97425,1.94068,1.13786,0.76395,0.65,0.86221,0.61559,1.68267,1.17888,1.38626,1.7603e-05,1.7603e-05,1.7603e-05
20,47.5756,0.86131,1.50449,1.1891,0.76395,0.65,0.86221,0.61559,1.68267,1.17888,1.38626,1.83571e-05,1.83571e-05,1.83571e-05
21,50.6029,1.26937,2.58486,1.68119,0.75734,0.65,0.85518,0.61429,1.70165,1.21326,1.39789,1.90876e-05,1.90876e-05,1.90876e-05
22,51.8728,1.07325,2.36012,1.50552,0.75734,0.65,0.85518,0.61429,1.70165,1.21326,1.39789,1.97946e-05,1.97946e-05,1.97946e-05
23,53.9166,1.04467,1.88897,1.47041,0.73296,0.65,0.85526,0.6193,1.69448,1.23094,1.39039,2.0478e-05,2.0478e-05,2.0478e-05
24,55.4741,1.0584,2.20419,1.49,0.73296,0.65,0.85526,0.6193,1.69448,1.23094,1.39039,2.11379e-05,2.11379e-05,2.11379e-05
25,57.4377,0.85453,1.48137,1.222,0.70531,0.67235,0.85556,0.61089,1.71314,1.2835,1.40351,2.17741e-05,2.17741e-05,2.17741e-05
26,59.2441,1.13153,1.84625,1.44807,0.70531,0.67235,0.85556,0.61089,1.71314,1.2835,1.40351,2.23869e-05,2.23869e-05,2.23869e-05
27,61.4238,0.90957,1.74927,1.39988,0.69276,0.67684,0.85599,0.61129,1.71957,1.32015,1.40547,2.2976e-05,2.2976e-05,2.2976e-05
28,63.0942,0.81502,1.26471,1.15643,0.69276,0.67684,0.85599,0.61129,1.71957,1.32015,1.40547,2.35417e-05,2.35417e-05,2.35417e-05
29,65.7256,0.99536,1.51733,1.27503,0.68699,0.67852,0.85534,0.60864,1.70206,1.32365,1.39401,2.40837e-05,2.40837e-05,2.40837e-05
30,67.8033,1.28768,2.33708,1.62499,0.68699,0.67852,0.85534,0.60864,1.70206,1.32365,1.39401,2.46022e-05,2.46022e-05,2.46022e-05
31,70.6952,1.01169,1.44085,1.32555,0.67283,0.66667,0.85353,0.61069,1.71796,1.36058,1.40611,2.50971e-05,2.50971e-05,2.50971e-05
32,72.2443,0.8604,1.31405,1.2349,0.67283,0.66667,0.85353,0.61069,1.71796,1.36058,1.40611,2.55685e-05,2.55685e-05,2.55685e-05
33,75.9593,0.85434,1.31173,1.40176,0.65153,0.7,0.76968,0.534,1.71102,1.3976,1.40589,2.60163e-05,2.60163e-05,2.60163e-05
34,77.7073,1.02527,1.25089,1.29027,0.65153,0.7,0.76968,0.534,1.71102,1.3976,1.40589,2.64405e-05,2.64405e-05,2.64405e-05
35,79.7609,0.89801,2.17959,1.31164,0.66015,0.7,0.76998,0.51895,1.70567,1.42484,1.40108,2.68412e-05,2.68412e-05,2.68412e-05
36,81.3421,0.90336,1.54797,1.17701,0.66015,0.7,0.76998,0.51895,1.70567,1.42484,1.40108,2.72183e-05,2.72183e-05,2.72183e-05
37,83.6915,0.76613,1.05619,1.15351,0.66627,0.7,0.76976,0.51041,1.68801,1.44702,1.39809,2.75718e-05,2.75718e-05,2.75718e-05
38,85.1124,0.48213,0.72623,0.98066,0.66627,0.7,0.76976,0.51041,1.68801,1.44702,1.39809,2.79018e-05,2.79018e-05,2.79018e-05
39,87.426,0.62303,0.90581,1.00584,0.67353,0.6945,0.76947,0.50369,1.6638,1.48088,1.38672,2.82082e-05,2.82082e-05,2.82082e-05
40,88.8218,0.80076,0.82464,1.16501,0.67353,0.6945,0.76947,0.50369,1.6638,1.48088,1.38672,2.84911e-05,2.84911e-05,2.84911e-05
41,91.1589,0.72863,0.89927,1.04837,0.6718,0.66247,0.74238,0.47929,1.63598,1.50398,1.37465,2.87504e-05,2.87504e-05,2.87504e-05
42,92.6288,0.89126,1.92346,1.27145,0.6718,0.66247,0.74238,0.47929,1.63598,1.50398,1.37465,2.89861e-05,2.89861e-05,2.89861e-05
43,95.2726,0.83878,1.25015,1.22935,0.67109,0.65,0.72538,0.45139,1.66872,1.5695,1.39698,2.91983e-05,2.91983e-05,2.91983e-05
44,96.5474,1.05259,0.97522,1.43562,0.67109,0.65,0.72538,0.45139,1.66872,1.5695,1.39698,2.93869e-05,2.93869e-05,2.93869e-05
45,99.2318,0.63226,0.92304,0.99938,0.68691,0.65,0.7117,0.44065,1.66356,1.57868,1.3989,2.9552e-05,2.9552e-05,2.9552e-05
46,100.72,0.7944,1.00182,1.21268,0.68691,0.65,0.7117,0.44065,1.66356,1.57868,1.3989,2.96935e-05,2.96935e-05,2.96935e-05
47,103.255,0.8268,1.4389,1.31981,0.71326,0.65,0.69897,0.43181,1.66441,1.62403,1.40448,2.98114e-05,2.98114e-05,2.98114e-05
48,104.702,0.85078,1.60777,1.20135,0.71326,0.65,0.69897,0.43181,1.66441,1.62403,1.40448,2.99058e-05,2.99058e-05,2.99058e-05
49,107.15,0.66396,0.69623,1.24976,0.75392,0.65,0.69886,0.43178,1.68427,1.64773,1.41423,2.99766e-05,2.99766e-05,2.99766e-05
50,108.629,0.79747,0.78758,1.30365,0.75392,0.65,0.69886,0.43178,1.68427,1.64773,1.41423,3.00238e-05,3.00238e-05,3.00238e-05
51,111.258,0.82737,0.87097,1.12531,0.75133,0.65,0.69353,0.42676,1.66339,1.65127,1.41137,3.00475e-05,3.00475e-05,3.00475e-05
52,112.624,0.94056,0.96666,1.31637,0.75133,0.65,0.69353,0.42676,1.66339,1.65127,1.41137,3.00476e-05,3.00476e-05,3.00476e-05
53,114.062,0.65274,0.70503,1.18366,0.75133,0.65,0.69353,0.42676,1.66339,1.65127,1.41137,3.00242e-05,3.00242e-05,3.00242e-05
