epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,116.926,0.82955,0.95594,1.26814,0.68721,0.66667,0.69235,0.39237,1.66658,1.72163,1.42098,2.99772e-05,2.99772e-05,2.99772e-05
55,118.421,0.77498,0.91279,1.11256,0.68721,0.66667,0.69235,0.39237,1.66658,1.72163,1.42098,2.99066e-05,2.99066e-05,2.99066e-05
56,119.863,1.16178,1.44315,1.63038,0.68721,0.66667,0.69235,0.39237,1.66658,1.72163,1.42098,2.98125e-05,2.98125e-05,2.98125e-05
57,122.604,0.93679,1.5138,1.37384,0.72006,0.68333,0.69352,0.39229,1.68725,1.75309,1.43436,2.96948e-05,2.96948e-05,2.96948e-05
58,124.393,0.85898,1.5059,1.27678,0.72006,0.68333,0.69352,0.39229,1.68725,1.75309,1.43436,2.95535e-05,2.95535e-05,2.95535e-05
59,126.919,0.78469,0.81933,1.1563,0.72006,0.68333,0.69352,0.39229,1.68725,1.75309,1.43436,2.93887e-05,2.93887e-05,2.93887e-05
60,129.714,0.96663,0.84374,1.53785,0.74143,0.51667,0.68411,0.38248,1.71285,1.78735,1.45572,2.92003e-05,2.92003e-05,2.92003e-05
61,131.005,0.64475,0.68011,1.06338,0.74143,0.51667,0.68411,0.38248,1.71285,1.78735,1.45572,2.89884e-05,2.89884e-05,2.89884e-05
62,133.274,0.71573,0.90516,1.05402,0.74143,0.51667,0.68411,0.38248,1.71285,1.78735,1.45572,2.87529e-05,2.87529e-05,2.87529e-05
63,136.754,0.78937,0.85855,1.16502,0.81692,0.48471,0.68313,0.38154,1.69297,1.83601,1.45829,2.84938e-05,2.84938e-05,2.84938e-05
64,138.053,0.62321,0.63956,1.06582,0.81692,0.48471,0.68313,0.38154,1.69297,1.83601,1.45829,2.82112e-05,2.82112e-05,2.82112e-05
65,139.809,0.6916,0.69355,1.23698,0.81692,0.48471,0.68313,0.38154,1.69297,1.83601,1.45829,2.7905e-05,2.7905e-05,2.7905e-05
66,142.69,0.69201,0.96534,1.0853,0.81769,0.48403,0.60032,0.32387,1.69295,1.91265,1.45548,2.75753e-05,2.75753e-05,2.75753e-05
67,144.565,0.73725,1.13894,1.10596,0.81769,0.48403,0.60032,0.32387,1.69295,1.91265,1.45548,2.7222e-05,2.7222e-05,2.7222e-05
68,146.452,1.03845,1.75,1.39516,0.81769,0.48403,0.60032,0.32387,1.69295,1.91265,1.45548,2.68451e-05,2.68451e-05,2.68451e-05
69,149.499,0.61119,1.10272,1.10237,0.8335,0.476,0.55711,0.28301,1.74553,1.97662,1.45813,2.64447e-05,2.64447e-05,2.64447e-05
70,150.711,1.04762,0.89134,1.48328,0.8335,0.476,0.55711,0.28301,1.74553,1.97662,1.45813,2.60207e-05,2.60207e-05,2.60207e-05
71,151.943,0.9515,1.26163,1.3284,0.8335,0.476,0.55711,0.28301,1.74553,1.97662,1.45813,2.55731e-05,2.55731e-05,2.55731e-05
72,155.164,0.59634,0.65005,1.08883,0.82908,0.46667,0.55788,0.26896,1.77141,1.99957,1.47675,2.5102e-05,2.5102e-05,2.5102e-05
73,156.97,0.69439,0.93693,1.05114,0.82908,0.46667,0.55788,0.26896,1.77141,1.99957,1.47675,2.46073e-05,2.46073e-05,2.46073e-05
74,158.288,0.7923,0.62968,1.24392,0.82908,0.46667,0.55788,0.26896,1.77141,1.99957,1.47675,2.40891e-05,2.40891e-05,2.40891e-05
75,161.714,0.71536,0.5615,1.13332,0.8344,0.46667,0.57239,0.28791,1.82934,2.01272,1.49987,2.35472e-05,2.35472e-05,2.35472e-05
76,163.461,0.64318,0.73897,1.13462,0.8344,0.46667,0.57239,0.28791,1.82934,2.01272,1.49987,2.29819e-05,2.29819e-05,2.29819e-05
77,165.145,0.698,0.6589,1.12648,0.8344,0.46667,0.57239,0.28791,1.82934,2.01272,1.49987,2.23929e-05,2.23929e-05,2.23929e-05
78,168.967,0.87284,1.0134,1.20369,0.85649,0.46667,0.59936,0.28362,1.8128,2.0262,1.496,2.17805e-05,2.17805e-05,2.17805e-05
79,170.443,0.5882,0.7815,1.08161,0.85649,0.46667,0.59936,0.28362,1.8128,2.0262,1.496,2.11444e-05,2.11444e-05,2.11444e-05
80,171.65,0.74849,0.73103,1.20787,0.85649,0.46667,0.59936,0.28362,1.8128,2.0262,1.496,2.04848e-05,2.04848e-05,2.04848e-05
81,175.507,0.52803,0.51581,0.98415,0.84127,0.46667,0.54903,0.25939,1.875,2.12651,1.55054,1.98016e-05,1.98016e-05,1.98016e-05
82,177.377,0.79672,0.68089,1.13369,0.84127,0.46667,0.54903,0.25939,1.875,2.12651,1.55054,1.90949e-05,1.90949e-05,1.90949e-05
83,179.257,0.81639,0.87883,1.22703,0.84127,0.46667,0.54903,0.25939,1.875,2.12651,1.55054,1.83646e-05,1.83646e-05,1.83646e-05
84,182.243,0.78638,0.56888,1.19745,0.83407,0.47838,0.57202,0.2683,1.89334,2.12051,1.5597,1.76107e-05,1.76107e-05,1.76107e-05
85,184.067,0.57581,0.75312,1.11451,0.83407,0.47838,0.57202,0.2683,1.89334,2.12051,1.5597,1.68333e-05,1.68333e-05,1.68333e-05
86,185.233,0.76933,0.67254,1.12065,0.83407,0.47838,0.57202,0.2683,1.89334,2.12051,1.5597,1.60323e-05,1.60323e-05,1.60323e-05
87,186.944,0.75694,0.79711,1.05817,0.83407,0.47838,0.57202,0.2683,1.89334,2.12051,1.5597,1.52077e-05,1.52077e-05,1.52077e-05
88,191.152,0.84018,0.85282,1.41921,0.83965,0.47554,0.5494,0.28425,1.88038,2.07651,1.54857,1.43596e-05,1.43596e-05,1.43596e-05
89,193.118,1.05384,0.94972,1.52686,0.83965,0.47554,0.5494,0.28425,1.88038,2.07651,1.54857,1.34879e-05,1.34879e-05,1.34879e-05
90,195.751,0.65053,0.63258,1.00514,0.83965,0.47554,0.5494,0.28425,1.88038,2.07651,1.54857,1.25927e-05,1.25927e-05,1.25927e-05
91,197.031,0.47195,0.526,0.89543,0.83965,0.47554,0.5494,0.28425,1.88038,2.07651,1.54857,1.16739e-05,1.16739e-05,1.16739e-05
92,200.353,0.70831,0.68903,0.9836,0.87254,0.46622,0.54688,0.28066,1.86092,2.01715,1.51647,1.07315e-05,1.07315e-05,1.07315e-05
93,201.636,0.48933,0.46362,0.99517,0.87254,0.46622,0.54688,0.28066,1.86092,2.01715,1.51647,9.76562e-06,9.76562e-06,9.76562e-06
94,203.42,0.54043,0.47033,0.88446,0.87254,0.46622,0.54688,0.28066,1.86092,2.01715,1.51647,8.77613e-06,8.77613e-06,8.77613e-06
95,204.609,0.43914,0.4686,0.90417,0.87254,0.46622,0.54688,0.28066,1.86092,2.01715,1.51647,7.76308e-06,7.76308e-06,7.76308e-06
96,208.078,0.455,0.50538,0.97295,0.84999,0.46667,0.54847,0.292,1.86309,1.99208,1.50357,6.72648e-06,6.72648e-06,6.72648e-06
97,209.467,0.70027,0.62964,1.05601,0.84999,0.46667,0.54847,0.292,1.86309,1.99208,1.50357,5.6663e-06,5.6663e-06,5.6663e-06
98,210.699,0.52934,0.47504,0.91413,0.84999,0.46667,0.54847,0.292,1.86309,1.99208,1.50357,4.58257e-06,4.58257e-06,4.58257e-06
99,211.932,0.48127,0.47353,0.91258,0.84999,0.46667,0.54847,0.292,1.86309,1.99208,1.50357,3.47528e-06,3.47528e-06,3.47528e-06
100,214.828,0.55991,0.53596,1.00492,0.83352,0.46667,0.55468,0.32019,1.83081,1.85408,1.48324,2.34442e-06,2.34442e-06,2.34442e-06
