epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.77043,1.33359,2.87069,1.64201,0.57454,0.85,0.87817,0.63489,1.64855,1.07041,1.38313,0,0,0
2,3.40343,1.20375,2.71831,1.51752,0.56597,0.85,0.8486,0.63183,1.64705,1.06023,1.37395,7.973e-07,7.973e-07,7.973e-07
3,4.82985,1.14031,3.63199,1.55537,0.55939,0.85,0.8513,0.61616,1.66839,1.06055,1.37969,8.092e-07,8.092e-07,8.092e-07
